rho,status,profit,J,util_bond,util_test,dual_bond,dual_test,bottleneck,mix
0.3,infeasible,,,,,,,,
0.5,ok,6736503.322823698,0.15997385500054945,0.4556560096990187,1.000000018050754,0.0,0.31239727,테스터,8L k2+12L k2+16L k4
0.7,ok,9489597.912784481,0.15963323655923356,0.6490889120443756,1.0000000028685976,0.0,0.31239727,테스터,8L k2+12L k2+16L k4
0.8,ok,10866145.09379521,0.15952794710831358,0.7458053557548737,0.9999999869189826,0.0,0.31239727,테스터,8L k2+12L k2+16L k4
0.9,ok,12242692.698608465,0.1594464302645445,0.8425218281167621,1.0000000100111421,0.0,0.31239727,테스터,8L k2+12L k2+16L k4
1.0,ok,13619239.879619198,0.15938145159200776,0.9392382718272605,0.9999999965371961,0.0,0.31239727,테스터,8L k2+12L k2+16L k4
1.2,ok,15188690.46597667,0.1597490379970322,0.9999999988738958,0.9647793965703108,0.34469613,0.0,본더,12L k2
1.5,ok,15188690.46597667,0.1597490379970322,0.9999999988738958,0.7718235172562486,0.34469613,0.0,본더,12L k2
2.0,ok,15304600.831546448,0.11577554467953667,1.0000000009693972,1.000000002383962,0.31825124,0.014537698,본더,12L k1+16L k2
