x,beta,a,theta,phi_final,r,c_base,c_fix_b,c_test,beta_f,rho,J,share8,share12,share16,bottleneck_tester
0.9678960129633528,0.8931393234363084,4.708354806181864,2.715005798157753,3.7474559442361226,7.603578834506694,1.4797957132898363,4.7053480794595055,0.013028943786534082,0.9625352811212473,1.1006673499574393,0.1959367342268033,0.5926318928853066,0.022110546187282712,0.38525756092741076,1.0
0.9639492132591918,0.9061099292634462,2.432911873590082,4.743213191718586,3.184775963839847,5.503760799393037,1.7231736333039387,4.128148394168623,0.010311500861824464,0.9865620516549153,0.9570671805686395,0.14092163540355981,0.16051168856189202,0.0,0.8394883114381081,1.0
0.9660046626956305,0.9535549574260551,3.665734997465787,1.101459993608235,3.474805105691816,3.441324624124151,1.769400698610041,6.276250020063238,0.014098841001954387,0.9243335587263115,0.7179069122596509,0.08736727557541907,0.0,0.44608462682752237,0.5539153731724777,1.0
0.9776513967998421,0.9721589426262893,1.4337652700596044,4.309428779897986,2.116165459253647,6.105015165986407,1.580924615349745,2.7735813711933797,0.011874845526264045,0.9426506331531355,0.8522173486214106,0.2522017010543912,0.0,0.0,1.0,1.0
0.9837459378170224,0.9377572237661659,3.7207253015225783,6.015336940703898,2.0143840063480374,5.502534067676711,1.3684903997047233,6.1004309318119,0.00980564366892415,0.9762791667788491,0.7386605627341128,0.17569911428079532,0.0,0.0,1.0,1.0
0.9639344292447769,0.986954781637822,7.604851817926209,2.148343580899634,2.9587694149150705,4.628497512280573,1.7762692097526176,6.291542290636894,0.01454307348995277,0.9295605578541142,0.7945745095477197,0.1175668762001584,0.0,0.17735328476656462,0.8226467152334354,0.0
0.9740360681882579,0.961090062123993,5.989275121022018,2.9445764809118646,3.12398178965793,4.013871893642317,1.5939054068367593,6.315155848616769,0.011507645670591895,0.9471903523599086,0.7925949147815932,0.10719644566856375,0.0,0.29013093983046023,0.7098690601695398,1.0
0.9806379099351209,0.9614979680955863,7.024418797453802,6.547264614286957,7.2667273999451565,3.4978590352518344,1.5555040538051124,3.8528133420691058,0.015140105998293527,0.9591897527906423,1.1668168345487002,0.051613221185650135,0.0,0.0,1.0,1.0
0.9519652032671251,0.95707291458186,6.812073622383738,2.394911285292695,1.6798614998324206,4.766231141144033,1.5080756817739203,6.987692999157099,0.01145339444422245,0.9530144701841037,0.7350524145742474,0.09809810906746279,0.14317786293005297,0.856822137069947,0.0,1.0
0.9717584027567961,0.9756070290568092,2.5459728029375372,6.523874395943901,4.606011967592078,5.2165601422426855,1.3083079484366347,5.432928176009774,0.01066330136659015,0.9633208539884199,1.1397931737179852,0.11096481145606155,0.0,0.0,1.0,1.0
0.9606257982622577,0.9632029829747666,4.542739525764375,3.2475871181213787,1.4274576702975255,7.117355488690643,0.8583565862894553,5.381189061912403,0.011942559290735861,0.9559293430752478,1.0482099145493284,0.2336491715856015,0.0,0.58375414521026,0.41624585478974,0.0
0.9689614312434565,0.9299919553560021,5.1220345251015775,2.294202576872759,2.997181816586948,5.849838919854614,1.1777234282471962,4.798143013912551,0.011864465483275244,0.9413922302425086,0.9206269981341104,0.16202086815232117,0.5410270530132256,0.0,0.45897294698677443,1.0
0.9721792058508049,0.9138786600022825,4.552420804017804,3.22266533949373,3.1325719225214534,4.098434726109412,1.0374722692170044,2.7114587814927926,0.012182656153977327,0.9562140580347934,0.810798392273373,0.09349101998094393,0.2851835979127482,0.0,0.7148164020872517,1.0
0.9767791200097242,0.9822661499109944,2.707235834511772,5.113766402181058,5.0408415503679675,6.025497425240518,1.8017391875433613,3.2562809427633357,0.010248270272817465,0.9496248084270446,0.7941486605964886,0.1704686356000609,0.0,0.0,1.0,1.0
0.9649593545766711,0.9487380102763727,3.567718488496073,3.2343343633413477,6.773176263154702,7.455637518789761,1.10464564755955,4.684279020118174,0.011379417845143062,0.9706342343211403,0.9564871553575449,0.21701946664380328,0.0,0.32331022141154037,0.6766897785884596,1.0
0.9888286403356242,0.9298836232014435,1.8884623483635936,4.608393226072959,3.5768238640575536,5.4074648037224575,1.4028538610639096,4.340051363860933,0.011011093056942443,0.9125565833636607,1.0521485533280457,0.15746139659907896,0.0,0.6656951406903701,0.33430485930963005,1.0
0.9668644656962742,0.9020788237642695,5.0036320326052,1.8863697782254505,5.989566675358801,5.897244240377651,1.6239104852879538,4.0755372597367545,0.01289932218703136,0.9606672239330448,1.3124057962186653,0.16185503402623147,0.0,0.6214749822181868,0.37852501778181324,1.0
0.9630301144824797,0.9042387788078748,5.51246246374129,2.89364885445007,3.7738996703347896,5.215780345570458,1.0964969009905767,4.761498180113697,0.012389207932353949,0.9840773155924959,0.8661867407140796,0.14116830873434064,0.0,0.5034282691923297,0.4965717308076702,1.0
0.9847493434430614,0.9442151234841816,2.5666182272160123,4.770614574178819,5.550884137521564,6.0429697543164735,0.7712312226938483,4.8946753922292805,0.011983609567993214,0.9685511164926909,0.8620812781375401,0.1880516760814863,0.0,0.0,1.0,1.0
